rep,bench,arm,ns_per_op,err_pct,probe_off,probe_on
8,WalletAvailableCoins,null,25796375.00,0.1,0.2273,0.8697
8,WalletCreateTxUsePresetInputsAndCoinSelection,null,15741597.33,0.6,0.2273,0.8697
8,CCoinsCaching,dit,167.34,4.7,0.2273,0.8697
8,CoinSelection,dit,3575370.90,0.1,0.2273,0.8697
8,ComplexMemPool,dit,35742708.00,1.3,0.2273,0.8697
8,ConnectBlockAllEcdsa,dit,27085416.50,0.6,0.2273,0.8697
8,DeserializeBlockTest,dit,740988.94,0.1,0.2273,0.8697
8,MemPoolAddTransactions,dit,70037583.00,0.7,0.2273,0.8697
8,SignTransactionECDSA,dit,58641.98,0.1,0.2273,0.8697
8,SignTransactionSchnorr,dit,44209.49,0.0,0.2273,0.8697
8,TxGraphTrim,dit,10023166.00,0.0,0.2273,0.8697
8,WalletAvailableCoins,dit,26756187.50,0.1,0.2273,0.8697
8,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16085333.33,0.4,0.2273,0.8697
9,CCoinsCaching,null,171.93,3.3,0.2258,0.8701
9,CheckBlockTest,null,334166.00,4.2,0.2258,0.8701
9,CoinSelection,null,3113012.50,0.1,0.2258,0.8701
9,ComplexMemPool,null,34862792.00,1.0,0.2258,0.8701
9,ConnectBlockAllEcdsa,null,26849625.00,0.1,0.2258,0.8701
9,DeserializeBlockTest,null,736141.34,0.1,0.2258,0.8701
9,MemPoolAddTransactions,null,68301000.00,0.4,0.2258,0.8701
9,SignTransactionECDSA,null,58894.34,0.1,0.2258,0.8701
9,SignTransactionSchnorr,null,43314.31,0.1,0.2258,0.8701
9,TxGraphTrim,null,9328917.00,0.0,0.2258,0.8701
9,WalletAvailableCoins,null,25827333.50,0.0,0.2258,0.8701
9,WalletCreateTxUsePresetInputsAndCoinSelection,null,15701388.67,1.0,0.2258,0.8701
9,CCoinsCaching,dit,169.07,2.1,0.2258,0.8701
9,CoinSelection,dit,3574237.50,0.2,0.2258,0.8701
9,ComplexMemPool,dit,35368375.00,0.7,0.2258,0.8701
9,ConnectBlockAllEcdsa,dit,27087208.50,0.8,0.2258,0.8701
9,DeserializeBlockTest,dit,742594.64,0.1,0.2258,0.8701
9,MemPoolAddTransactions,dit,69815625.00,0.5,0.2258,0.8701
9,SignTransactionECDSA,dit,60410.85,0.1,0.2258,0.8701
9,SignTransactionSchnorr,dit,44083.90,0.1,0.2258,0.8701
9,TxGraphTrim,dit,10000208.00,0.0,0.2258,0.8701
9,WalletAvailableCoins,dit,27100291.50,0.1,0.2258,0.8701
