scenario,config,gap,cycles,insts,predictions,load_predictions,behind_clear,behind_clear_retired,in_sequence,leak_entry,behind_set_squashed,behind_clear_squashed_younger,behind_clear_squashed_samepath,rename_serializing,dit_tagged_set,branch_mispredicts,value_mispredicts,claim_violations,clears_committed,clears_reg_committed,early_published,early_lead_cycles,held_branch,held_valuepred,checksum
branch,writeback,12,227813.0,298085.0,85878.0,85748.0,85736.0,85024.0,712.0,0.0,0.0,0.0,0.0,6038.0,173335.0,121.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,writeback,24,257721.0,369137.0,95682.0,95568.0,95552.0,94720.0,832.0,0.0,0.0,0.0,0.0,6038.0,162990.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,writeback,48,282292.0,511241.0,95713.0,95584.0,848.0,0.0,848.0,0.0,0.0,0.0,0.0,6040.0,163647.0,124.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,writeback,96,340697.0,795449.0,95729.0,95600.0,864.0,0.0,864.0,0.0,0.0,0.0,0.0,6041.0,163247.0,125.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,writeback,192,483275.0,1363865.0,95729.0,95600.0,864.0,0.0,864.0,0.0,0.0,0.0,0.0,6039.0,163673.0,123.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,branch-only,0,217290.0,227033.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,259259.0,123.0,0.0,0.0,5922.0,0.0,5922.0,5923.0,5977.0,0.0,67725
branch,branch-only,6,221560.0,262559.0,161.0,32.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,6039.0,258547.0,123.0,0.0,0.0,5922.0,0.0,5922.0,5935.0,5973.0,0.0,67725
branch,branch-only,12,227813.0,298085.0,146.0,16.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6038.0,259067.0,121.0,0.0,0.0,5922.0,0.0,5922.0,5929.0,5974.0,0.0,67725
branch,branch-only,24,257722.0,369137.0,24016.0,23902.0,23886.0,23886.0,0.0,0.0,0.0,0.0,0.0,6038.0,234656.0,122.0,0.0,0.0,5922.0,0.0,5922.0,5929.0,5974.0,0.0,67725
branch,branch-only,48,282292.0,511241.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6040.0,164494.0,124.0,0.0,0.0,5922.0,0.0,5922.0,5935.0,5974.0,0.0,67725
